waiting for 1 second sample...
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   469    985  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   481   1064  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   463   1004  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   468   1004  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   508   1069  12G  22M  13G  13G 555M   5G      0      0    120     13 
   0   0   475    997  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   506   1052  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   447    972  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   479   1021  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   529   1104  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   461    967  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   465   1001  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   490   1058  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   476   1043  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   624   1216  12G  22M  13G  13G 555M   5G      0      0     96     22 
   0   0   467    988  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   472   1022  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   471   1023  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   490   1036  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   484   1018  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   468    988  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   476   1021  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   460    992  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   504   1068  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   500   1085  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   576   1348  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   471   1010  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   455    990  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   468   1012  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   497   1042  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470    991  12G  22M  13G  13G 555M   5G      0      0     36      1 
   0   0   466   1003  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   466    998  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   501   1075  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   543   1130  12G  22M  13G  13G 555M   5G    132      3      0      0 
   0   0   481   1009  12G  22M  13G  13G 555M   5G      0      0    132     12 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   485   1046  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   463   1041  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   474   1025  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   480   1008  12G  22M  13G  13G 555M   5G      0      0      0      0 
   1   0   516   1030  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   483   1027  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   466   1015  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   462   1009  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   472   1014  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   487   1031  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470   1020  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   467   1005  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   484   1042  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   478   1024  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   474   1013  12G  22M  13G  13G 555M   5G      0      0     24      5 
   0   0   692   1268  12G  22M  13G  13G 555M   5G      0      0     12      2 
   0   0   464   1007  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   489   1051  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   469   1011  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   464   1000  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   495   1037  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   490   1048  12G  22M  13G  13G 555M   5G      0      0     16      2 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   458    998  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   478   1016  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   471   1012  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   534   1116  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   493   1035  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   495   1064  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   499   1056  12G  22M  13G  13G 555M   5G      0      0     16      2 
   0   0   507   1067  12G  22M  13G  13G 555M   5G      0      0    108     10 
   0   0   528   1076  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   494   1017  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   492   1044  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   510   1060  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   466   1008  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   506   1052  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   493   1041  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   487   1054  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   632   1202  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   501   1055  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   486   1047  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   495   1049  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   484   1038  12G  22M  13G  13G 555M   5G      0      0      0      0 
   1   0   562   1063  12G  22M  13G  13G 555M   5G      0      0     16      2 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   507   1044  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   534   1105  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   495   1040  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   510   1039  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   526   1087  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   488   1027  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   549   1122  12G  22M  13G  13G 555M   5G      0      0     16      2 
   0   0   490   1021  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   495   1035  12G  22M  13G  13G 555M   5G      0      0     12      2 
   0   0   548   1106  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   488   1032  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   494   1066  12G  22M  13G  13G 555M   5G      0      0     36      1 
   0   0   472   1022  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   524   1115  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   455    994  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   455    988  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   538   1096  12G  22M  13G  13G 555M   5G      0      0    148     11 
   0   0   475    997  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   472   1003  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   477   1004  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   444    958  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   489   1050  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   488   1031  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   462   1006  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   461    998  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470   1006  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470   1023  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   465   1000  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   486   1040  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   473   1023  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   472    995  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   519   1100  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   464   1038  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   499   1071  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   494   1123  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   453    977  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   492   1059  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   565   1109  12G  22M  13G  13G 555M   5G    132     33     32      2 
   0   0   465   1014  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   464    991  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   460    996  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   481   1046  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   562   1190  12G  22M  13G  13G 555M   5G      0      0     60      5 
   0   0   477   1024  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   465   1027  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   481   1013  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   491   1049  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   481   1047  12G  22M  13G  13G 555M   5G      0      0     76     12 
   0   0   490   1066  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   495   1047  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   694   1270  12G  22M  13G  13G 555M   5G    260     39     64      6 
   0   0   482   1044  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   466   1011  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   447   1019  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   533   1127  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   457   1000  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   460   1026  12G  22M  13G  13G 555M   5G      0      0     36      2 
   0   0   453   1015  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   455   1024  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   430    981  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   429    972  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   465   1049  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   442    987  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   472   1032  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   454   1017  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   428    961  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   453   1022  12G  22M  13G  13G 555M   5G      0      0     12      2 
   0   0   483   1033  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   429    979  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   477   1041  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   455   1021  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   447   1001  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   439   1002  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   479   1044  12G  22M  13G  13G 555M   5G      0      0     92     13 
   0   0   426    984  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   442    997  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   466   1017  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   437    970  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   452    987  12G  22M  13G  13G 555M   5G      0      0     96     11 
   0   0   447    989  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   434    964  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   444   1019  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   451    991  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   468   1017  12G  22M  13G  13G 555M   5G      0      0    292     51 
   0   0   432    968  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470   1010  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   435    994  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   413    935  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   481   1039  12G  22M  13G  13G 555M   5G      0      0     20      2 
   0   0   454    998  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   431    970  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   451   1011  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   420    965  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   435    997  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   456    999  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   418    955  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   445    985  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   448    988  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   429    972  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   442    988  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   452    997  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   433   1001  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   430    956  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   449    997  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   460   1031  12G  22M  13G  13G 555M   5G      0      0     12      2 
   0   0   434   1000  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   461   1014  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   417    945  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   435    961  12G  22M  13G  13G 555M   5G      0      0    124     18 
   0   0   471   1035  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   424    975  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   464   1002  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   468   1019  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   423    970  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   533   1108  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   439    987  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   439   1003  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   433    983  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   452   1000  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   447   1014  12G  22M  13G  13G 555M   5G      0      0     20      2 
   0   0   437    979  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   512   1098  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   423    980  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   424    946  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470   1039  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   425   1001  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   440   1013  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   446    973  12G  22M  13G  13G 555M   5G      0      0     20      2 
   0   0   429    966  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   505   1069  12G  22M  13G  13G 555M   5G      0      0     32      1 
   0   0   455   1011  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   452   1029  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   428    959  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   454    986  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   452   1020  12G  22M  13G  13G 555M   5G      0      0     32      2 
   0   0   420    963  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   488   1067  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   416    967  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   415    956  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   462   1026  12G  22M  13G  13G 555M   5G      0      0     96     12 
   0   0   419    955  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   444   1040  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   443    982  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   404    942  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   445    996  12G  22M  13G  13G 555M   5G      0      0     48      8 
   0   0   455   1024  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   447   1025  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   407    954  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   433    984  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   433    992  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   420    967  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   561   1203  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   436    984  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   422    967  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   471   1044  12G  22M  13G  13G 555M   5G      0      0     92     19 
   0   0   420    972  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   450   1018  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   450    999  12G  22M  13G  13G 555M   5G      0      0     16      2 
   0   0   417    948  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   425    986  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   455   1009  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   459   1065  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   411    940  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   435    960  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   435    996  12G  22M  13G  13G 555M   5G      0      0     16      2 
   0   0   431    993  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   489   1060  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   405    934  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   421    969  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   474   1040  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   435    982  12G  22M  13G  13G 555M   5G      0      0     92     11 
   0   0   447   1022  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   455    978  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   419    979  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   512   1104  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   450   1000  12G  22M  13G  13G 555M   5G      0      0      8      2 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   465   1057  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   438    990  12G  22M  13G  13G 555M   5G      0      0     20      2 
   0   0   448    980  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   414    963  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   414    957  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   475   1057  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   410    947  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   428    958  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   483   1048  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   419    972  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   444   1016  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   427    958  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   414    940  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   453   1030  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   470   1038  12G  22M  13G  13G 555M   5G      0      0     36      1 
   0   0   423    997  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   423    968  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   454    992  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   438    999  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   392    951  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   453   1032  12G  22M  13G  13G 555M   5G      0      0     20      2 
   0   0   414    945  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   386    938  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   422    971  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   400    950  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   426    984  12G  22M  13G  13G 555M   5G      0      0     80     12 
   0   0   405    948  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   356    882  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   390    946  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   416    966  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   416    995  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   356    886  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   392    929  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   401    957  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   377    923  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   423    984  12G  22M  13G  13G 555M   5G      0      0     28      4 
   0   0   373    915  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   388    926  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   418    987  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   370    914  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   407    982  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   428    983  12G  22M  13G  13G 555M   5G      0      0     12      2 
   0   0   371    895  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   379    920  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   401    956  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   415   1011  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   373    931  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   391    928  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   407    982  12G  22M  13G  13G 555M   5G      0      0     12      2 
   0   0   386    935  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   427    998  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   369    901  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   374    908  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   421    995  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   376    936  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   403    969  12G  22M  13G  13G 555M   5G      0      0     76     12 
   0   0   408    938  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   389    916  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   509   1122  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   397    955  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   406    989  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   393    940  12G  22M  13G  13G 555M   5G      0      0     24      2 
   0   0   398    924  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   389    931  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   376    918  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   445   1023  12G  22M  13G  13G 555M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   368    898  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   407    916  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   415    969  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   376    927  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   443   1000  12G  22M  13G  13G 555M   5G      0      0     16      2 
   0   0   393    934  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   366    914  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   423    992  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   431   1004  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   425   1012  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   409    938  12G  22M  13G  13G 555M   5G      0      0     52      4 
   0   0   428    988  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   393    972  12G  22M  13G  13G 555M   5G      0      0      0      0 
   0   0   385    956  12G  22M  13G  13G 555M   5G      0      0      0      0 
   2   1  1489   1876  12G  23M  13G  13G 555M   5G  13796    579      0      0 
   0   0   420    961  12G  23M  13G  13G 556M   5G      0      0     44      2 
   0   0   372    888  12G  23M  13G  13G 556M   5G      0      0      0      0 
   0   0   435   1026  12G  23M  13G  13G 556M   5G      0      0      0      0 
   0   0   402    936  12G  23M  13G  13G 556M   5G      0      0      0      0 
   0   0   400    970  12G  23M  13G  13G 556M   5G      0      0      0      0 
   0   0   412    949  12G  23M  13G  13G 556M   5G      0      0    104     10 
   0   0   370    906  12G  23M  13G  13G 556M   5G      0      0      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   382    938  12G  23M  13G  13G 556M   5G      0      0      0      0 
   0   0   428    981  12G  23M  13G  13G 556M   5G      0      0     48      2 
